outcome_label,outcome_slug,income_form,specification,quadratic_coefficient,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,turning_point_inside_minmax,turning_point_inside_p05_p95,nobs,clusters,status,fixed_effects,dropped_rows,dropped_regressors
Export World-Relative Product Gini,export_world_relative_product_gini,level_ppp,pooled_year_fe,0.004920656748565942,5.3106600227235526e-09,78574.1140910397,True,True,1375,55,ok,year,0,
Export World-Relative Product Gini,export_world_relative_product_gini,log_ppp,pooled_year_fe,-0.006873864365148616,0.25308321679403095,28.700501163879263,False,False,1375,55,ok,year,0,
Export World-Relative Product Gini,export_world_relative_product_gini,level_ppp,country_year_fe,0.0016093552259947488,0.006598452632206024,88449.60630783891,True,False,1375,55,ok,"year,reporter_code",0,
Export World-Relative Product Gini,export_world_relative_product_gini,log_ppp,country_year_fe,0.005018950542803769,0.30128743146670095,2571401.405654941,False,False,1375,55,ok,"year,reporter_code",0,
Export Product Gini,export_product_gini,level_ppp,pooled_year_fe,0.0013262921654871532,2.402889360258746e-05,75806.18749832094,True,True,1375,55,ok,year,0,
Export Product Gini,export_product_gini,log_ppp,pooled_year_fe,-0.0004892383277426191,0.7965784175120512,3.833381798827439e-06,False,False,1375,55,ok,year,0,
Export Product Gini,export_product_gini,level_ppp,country_year_fe,0.0003770764490526289,0.06779444133521448,61678.35942639969,True,True,1375,55,ok,"year,reporter_code",0,
Export Product Gini,export_product_gini,log_ppp,country_year_fe,0.0037505521193012988,0.0668595931956759,57398.91939579554,True,True,1375,55,ok,"year,reporter_code",0,
Import Product Gini,import_product_gini,level_ppp,pooled_year_fe,0.001459367817325006,5.927095972331039e-06,64503.697304469475,True,True,1375,55,ok,year,0,
Import Product Gini,import_product_gini,log_ppp,pooled_year_fe,0.004423281483761703,0.05970758970670386,100181.9336078783,True,False,1375,55,ok,year,0,
Import Product Gini,import_product_gini,level_ppp,country_year_fe,0.0003139573613298169,0.21387751265744315,18554.10540825871,True,True,1375,55,ok,"year,reporter_code",0,
Import Product Gini,import_product_gini,log_ppp,country_year_fe,0.008371452907126271,0.001361525899127818,26709.719634576162,True,True,1375,55,ok,"year,reporter_code",0,
Export Partner Gini,export_partner_gini,level_ppp,pooled_year_fe,-5.751102544925168e-06,0.9783864184955026,1698073.572558701,False,False,1375,55,ok,year,0,
Export Partner Gini,export_partner_gini,log_ppp,pooled_year_fe,0.005215647271539665,0.007079925711234292,10744.178029051056,True,True,1375,55,ok,year,0,
Export Partner Gini,export_partner_gini,level_ppp,country_year_fe,7.823883614286632e-05,0.824462810378292,-47810.28228953788,False,False,1375,55,ok,"year,reporter_code",0,
Export Partner Gini,export_partner_gini,log_ppp,country_year_fe,0.002802647902535977,0.43692967299826213,12145.072895919475,True,True,1375,55,ok,"year,reporter_code",0,
Import Partner Gini,import_partner_gini,level_ppp,pooled_year_fe,3.577174378224955e-05,0.8668165241261193,-391591.73746873747,False,False,1375,55,ok,year,0,
Import Partner Gini,import_partner_gini,log_ppp,pooled_year_fe,0.003320183100835231,0.14943585705278675,5076.799140750453,True,True,1375,55,ok,year,0,
Import Partner Gini,import_partner_gini,level_ppp,country_year_fe,-0.0002689066764837329,0.3561088356801211,88670.36101704855,True,False,1375,55,ok,"year,reporter_code",0,
Import Partner Gini,import_partner_gini,log_ppp,country_year_fe,-0.0016401761880504712,0.58591217391523,801806.3800495197,False,False,1375,55,ok,"year,reporter_code",0,
