outcome_slug,flow,outcome_label,income_form,income_label,linear_term,linear_coefficient,linear_std_error,linear_p_value,quadratic_term,quadratic_coefficient,quadratic_std_error,quadratic_p_value,turning_point_ppp_constant_2021_intl_usd,turning_point_inside_minmax,turning_point_inside_p05_p95,income_min,income_p05,income_p95,income_max,nobs,clusters,r_squared,verdict
export_world_relative_product_gini,Exports,Export World-Relative Product Gini,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.07732724895293298,0.007519803514353657,2.5215834104580083e-14,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.004920656748565969,0.0007098348667942624,5.31066002271888e-09,78574.1140910393,True,True,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.7291952065472957,clear hump
export_world_relative_product_gini,Exports,Export World-Relative Product Gini,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,0.04614995108218525,0.10975403012170155,0.6757996459377377,log_gdp_pc_ppp_constant_2021_intl_usd_sq,-0.006873864365148611,0.005950221506894481,0.2530832168000777,28.700501163879572,False,False,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.6990540595062571,no concentration U-shape
export_product_gini,Exports,Export Product Gini,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.020108230514894666,0.002957011527260347,8.696047982683317e-09,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0013262921654871745,0.00028693955794097597,2.4028893602609045e-05,75806.18749831979,True,True,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.6244765401109856,clear hump
export_product_gini,Exports,Export Product Gini,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.012203329112795664,0.03456908364069242,0.7254531649568334,log_gdp_pc_ppp_constant_2021_intl_usd_sq,-0.0004892383277426192,0.0018885558924128093,0.7965784175171412,3.83338179882748e-06,False,False,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.6071954886346718,no concentration U-shape
import_product_gini,Imports,Import Product Gini,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,-0.018826923988923265,0.002739229002998287,6.622332985152951e-09,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,0.0014593678173250217,0.00029058919191354973,5.927095972335032e-06,64503.69730446867,True,True,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.4634101422111836,clear hump
import_product_gini,Imports,Import Product Gini,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.10186590031418674,0.04354014288453445,0.023033027604336346,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.004423281483761718,0.0022997092861316037,0.05970758971249713,100181.93360787527,True,False,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.46392662082499636,no clean hump
export_partner_gini,Exports,Export Partner Gini,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,0.0019531590489224723,0.0028464570745404243,0.4955404495060248,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,-5.7511025449087704e-06,0.00021129991178368466,0.9783864184955653,1698073.5725635153,False,False,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.10857040510081828,no concentration U-shape
export_partner_gini,Exports,Export Partner Gini,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.09682452048738063,0.03475823709814153,0.007353569553805929,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.00521564727153965,0.001862910100553222,0.007079925711525749,10744.178029051209,True,True,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.13980332398636908,clear hump
import_partner_gini,Imports,Import Partner Gini,level_ppp,PPP GDPpc level,gdp_pc_ppp_constant_2021_intl_usd_10k,0.0028015838599955048,0.0028113219762225645,0.3234344337891506,gdp_pc_ppp_constant_2021_intl_usd_10k_sq,3.577174378226295e-05,0.00021229043607192736,0.8668165241260616,-391591.7374685884,False,False,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.1415456620736486,outside-support artifact
import_partner_gini,Imports,Import Partner Gini,log_ppp,log PPP GDPpc,log_gdp_pc_ppp_constant_2021_intl_usd,-0.056658501302891004,0.043300700133804784,0.1962494134526585,log_gdp_pc_ppp_constant_2021_intl_usd_sq,0.0033201831008352316,0.0022704129595049983,0.14943585706404577,5076.79914075049,True,True,711.976393527396,1934.5161572036181,83770.58622055843,138677.965491876,1375,55,0.14143741673146282,no clean hump
