year,benchmark_reporters_with_exports,benchmark_reporter_product_rows,benchmark_total_exports,benchmark_products,world_total_exports,rd2_countries_with_metric,median_world_relative_product_gini,median_world_weighted_share_gini,median_active_product_gini,max_zero_weight_country_export_share,total_missing_benchmark_products,total_negative_leave_one_out_products
2000,151,315754,5817244525651.065,5165,5817244525651.065,55,0.8353633828113487,0.887277490367446,0.9261647272919752,0.005955628988166681,0,0
2001,155,319137,5632048942793.863,5044,5632048942793.863,55,0.8351329991477922,0.8918237916640827,0.9292997775157672,0.012231286592510134,0,0
2002,156,329498,5923913705348.562,5436,5923913705348.562,55,0.8308106967791451,0.8943344032466253,0.9304290654858398,0.017382189050635304,0,0
2003,159,340925,6921292266523.206,5471,6921292266523.206,55,0.8321898957376572,0.890566894529481,0.9306289606641432,0.019038356183221247,0,0
2004,160,347088,8351471838101.767,5465,8351471838101.767,55,0.8370645667998562,0.8913979923352754,0.930329975718432,0.02388719299882621,0,0
2005,164,355075,9463776609781.371,5404,9463776609781.371,55,0.8291549744029348,0.8824897300019106,0.932364849808319,0.02956388201329274,0,0
2006,161,363349,11029272427409.55,5373,11029272427409.55,55,0.8299524486268555,0.8812489476051749,0.9315777810148878,0.013917371797923206,0,0
2007,165,364516,12696329386535.994,5880,12696329386535.994,55,0.8206055341316755,0.8904949504134181,0.9303915255523972,0.018722477651580367,0,0
2008,164,366742,14679230251059.178,5595,14679230251059.178,55,0.823197789514741,0.8829249896105821,0.9344366877608536,5.7803721598403525e-06,0,0
2009,166,368799,11155952807789.14,5458,11155952807789.14,55,0.8129008038457001,0.8855267949272346,0.934885365694478,0.00015177894934850474,0,0
2010,169,373324,13603195025663.61,5350,13603195025663.61,55,0.8196733163222818,0.8849672174780757,0.9351328940879036,0.00022427615515899254,0,0
2011,168,373397,16465456215640.959,5200,16465456215640.959,55,0.8314482387809145,0.8882913827406419,0.9356496366392136,0.0010762643955206821,0,0
2012,170,378279,16687135437611.12,5660,16687135437611.12,55,0.8333462333065715,0.8877843512739507,0.9365450051660312,0.0003110283058147738,0,0
2013,170,385032,17314426629846.037,5639,17314426629846.037,55,0.8232848496814391,0.8932074995513954,0.9357938121792576,0.00047068707347533824,0,0
2014,167,380997,17180778292593.324,5541,17180778292593.324,55,0.8186694446473655,0.8874631655569887,0.9326774019343153,0.005843941644812311,0,0
2015,168,387997,14886724041640.428,5311,14886724041640.428,55,0.8165245394997913,0.8888645636545619,0.9314401041733928,0.00014707252025343752,0,0
2016,170,389381,14463153245876.996,5257,14463153245876.996,55,0.8192443233979315,0.8831848429371998,0.9330311231735426,0.0021974814945041814,0,0
2017,171,397273,15912744634800.098,5688,15912744634800.098,55,0.845050252593172,0.8970858619445754,0.934430464762054,0.00047654063944005593,0,0
2018,169,393122,17639705152038.01,5638,17639705152038.01,55,0.8208646535642397,0.8945064044721254,0.93422672375673,0.00045128285499362994,0,0
2019,166,395579,17270046559346.42,5406,17270046559346.42,55,0.8231422176328665,0.8909333960866407,0.9333325429522572,0.00031879292100240193,0,0
2020,163,382728,16099571053208.256,5307,16099571053208.256,55,0.8325126942501107,0.8983881908237268,0.9332888359178324,0.00018707419711667717,0,0
2021,163,391197,20230697024887.18,5296,20230697024887.18,55,0.8330903942534217,0.9027223919999041,0.9429658487172304,0.005240106121714419,0,0
2022,160,391677,22120815369208.137,5865,22120815369208.137,55,0.8443376084663027,0.8954403797335602,0.9429199187990238,3.4400881415760434e-08,0,0
2023,158,391001,21325007050203.676,5754,21325007050203.676,55,0.8315544834872132,0.8940130570806584,0.9368677897411748,8.845915098049551e-06,0,0
2024,134,358170,20562489519169.527,5632,20562489519169.527,55,0.830135654379881,0.9007726022790521,0.9391579788403824,0.0018497240650170769,0,0
